"id","Keyword","Name","Full_Address","Street_Address","City","Zip","Municipality","State","Country","Timezone","Sub_Title","Phone_1","Phone_Standard_format","Phone_From_WEBSITE","Email_From_WEBSITE","Website","Domain","First_category","Second_category","Claimed_google_my_business","Reviews_count","Average_rating","Business_Status","Hours","Saturday","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Latitude","Longitude","Coordinates","Plus_Code","Place_ID","Menu_Link","GMB_URL","CID","Google_Knowledge_URL","Kgmid","Image_URL","Favicon","Review_URL","Facebook_URL","Linkedin_URL","Twitter_URL","Instagram_URL","Youtube_URL","Meta_Description","Meta_Keywords","Uuid","Accessibility","Offerings","Service_options","Planning","From_the_business","Amenities","Crowd"
"665","Schools in lucknow","JAGRAN PUBLIC SCHOOL  LUCKNOW","Viraj Khand-2  सेक्टर 6  Gomti Nagar  Lucknow  Uttar Pradesh 226010","Viraj Khand-2  सेक्टर 6  Gomti Nagar","Lucknow","226010","Lucknow  Uttar Pradesh 226010","Uttar Pradesh","IN","Asia/Calcutta","जागरण पब्लिक स्कूल, लखनऊ","07081891283","070818 91283",,,"https://www.jpslucknow.com/","jpslucknow.com","Educational institution"," ","Yes","661","4.6","open","Wednesday, 8 am-3 pm; Thursday, 8 am-3 pm; Friday, 8 am-3 pm; Saturday, 8 am-1:30 pm; Sunday, Closed; Monday, 8 am-3 pm; Tuesday, 8 am-3 pm; ","8 am-1:30 pm","Closed","8 am-3 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","Lat 26.852588899999997","Lng 81.0290107","26.852588899999997,81.0290107","7MR3V23H+2JJ","ChIJ_0hDp_rimzkRIyxD_mDGXwE"," ","https://www.google.com/maps/place/?q=place_id:ChIJ_0hDp_rimzkRIyxD_mDGXwE","99015836710415395","https://www.google.com/search?kgmid=/m/011qf90w","/m/011qf90w","https://lh5.googleusercontent.com/p/AF1QipN6wuMSpocentTjcccHgbOO1de8snJWwmeFZNzR","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.jpslucknow.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJ_0hDp_rimzkRIyxD_mDGXwE&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/jagranpublicschool"," ","https://twitter.com/jps_lucknow","https://www.instagram.com/jpslucknow/","https://www.youtube.com/channel/UCe2EautcM7sa-S2SKY5sQGg","Best CBSE School in Lucknow , Best Boarding School in Lucknow , Boys & Girsl Hostel School",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcICygG","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"666","Schools in lucknow","Central Public School","Ratan Khand  Sector-8  Rajni Khand  Sharda Nagar  Yojna  Lucknow  Uttar Pradesh 226002","Ratan Khand  Sector-8  Rajni Khand  Sharda Nagar","Yojna, Lucknow","226002","Yojna  Lucknow  Uttar Pradesh 226002","Uttar Pradesh","IN","Asia/Calcutta","सेंट्रल पब्लिक स्कूल","09005742343","090057 42343","+917376887615","contact@cpslucknow.edu.in","http://www.cpslucknow.edu.in/","cpslucknow.edu.in","School","Public educational institution","Yes","459","4.7","open","Wednesday, 8 am-4 pm; Thursday, 8 am-4 pm; Friday, 8 am-4 pm; Saturday, 8 am-4 pm; Sunday, Closed; Monday, 8 am-4 pm; Tuesday, 8 am-4 pm; ","8 am-4 pm","Closed","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","Lat 26.775564799999998","Lng 80.9329879","26.775564799999998,80.9329879","7MR2QWGM+65H","ChIJ7YsGv5r7mzkRK32aFwh3_Pw"," ","https://www.google.com/maps/place/?q=place_id:ChIJ7YsGv5r7mzkRK32aFwh3_Pw","18229576268328369451","https://www.google.com/search?kgmid=/g/1pp2txp6k","/g/1pp2txp6k","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDe1LjFVQ","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.cpslucknow.edu.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJ7YsGv5r7mzkRK32aFwh3_Pw&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/people/Central-Public-School/100063713477166/"," "," ","https://www.instagram.com/centralpublicschoollko/","https://www.youtube.com/@centralpublicschool3822","Central Public School was established in the year 1991, in the city of Nawabs, Lucknow. The school offers excellent quality of education and development.",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIMSgH","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE  | Affiliated with CISCE ",,,,,
"667","Schools in lucknow","The Lucknow Public Collegiate:- Jopling Road | Best ICSE School lucknow | ISC School in lucknow | Daycare school in lucknow","3  Jopling Rd  Picup Colony  Hazratganj  Lucknow  Uttar Pradesh 226001","3  Jopling Rd","Lucknow","226001","Lucknow  Uttar Pradesh 226001","Uttar Pradesh","IN","Asia/Calcutta","द लखनऊ पब्लिक काॅलिजिएट","09839269597","098392 69597",,"lpc_jprd@hotmail.com","http://lpcjoplingroad.com/","lpcjoplingroad.com","General education school"," ","Yes","17","4.8","open","Wednesday, 9:30 am-5 pm; Thursday, 9:30 am-5 pm; Friday, 9:30 am-5 pm; Saturday, 9:30 am-5 pm; Sunday, Closed; Monday, 9:30 am-5 pm; Tuesday, 9:30 am-5 pm; ","9:30 am-5 pm","Closed","9:30 am-5 pm","9:30 am-5 pm","9:30 am-5 pm","9:30 am-5 pm","9:30 am-5 pm","Lat 26.853749999999998","Lng 80.95649829999999","26.853749999999998,80.95649829999999","7MR2VX34+FHX","ChIJaV6PohH9mzkRF65V2tsdMss"," ","https://www.google.com/maps/place/?q=place_id:ChIJaV6PohH9mzkRF65V2tsdMss","14641798168632995351","https://www.google.com/search?kgmid=/g/1hf0j0jqh","/g/1hf0j0jqh","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDs4rXBwAE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://lpcjoplingroad.com/&size=48","https://search.google.com/local/reviews?placeid=ChIJaV6PohH9mzkRF65V2tsdMss&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/lpcjoplingroadofficial.in/%20"," ","https://twitter.com/lucknow_public","https://www.instagram.com/lpcjprdofficial.in/%20","https://www.youtube.com/channel/UCBOgVq8aZZQmzFJ1Ze4Qt_g","The Lucknow Public Collegiate is the Best ICSE Schools in Lucknow, We have advance equipment in Labs, big play ground, and highly qualified teaches.",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIVygI","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CISCE ","On-site services",,,,
"668","Schools in lucknow","VIBGYOR High CBSE School  Lucknow","R2X2+J9H  2/217  near Patrakarpuram  Chauraha  Viram Khand-2  Gomti Nagar  Lucknow  Uttar Pradesh 226010","R2X2+J9H","Lucknow","226010","2/217","Uttar Pradesh","IN","Asia/Calcutta","विब्ग्योर हाई CBSE स्कूल, लखनऊ","06003000700","060030 00700","+916003000700 | +915224263450 | +917376172930",,"https://www.vibgyorhigh.com/school/lucknow/cbse/gomti-nagar?utm_source=Google+Maps&utm_medium=Google+Maps+Listing&utm_campaign=Google+Business+Profile+Listing","vibgyorhigh.com","High school","CBSE School","Yes","0","0","open","Wednesday, 8 am-5 pm; Thursday, 8 am-5 pm; Friday, 8 am-5 pm; Saturday, 8 am-5 pm; Sunday, 8 am-5 pm; Monday, 8 am-5 pm; Tuesday, 8 am-5 pm; ","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","Lat 26.8480506","Lng 81.0015291","26.8480506,81.0015291","7MR3R2X2+6JC","ChIJDbz5q9vimzkRSwJfvJIMWvQ","https://www.vibgyorhigh.com/school/lucknow-cbse","https://www.google.com/maps/place/?q=place_id:ChIJDbz5q9vimzkRSwJfvJIMWvQ","17607399517523477067","https://www.google.com/search?kgmid=/g/1pp2vd7hy","/g/1pp2vd7hy","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgID649fInwE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.vibgyorhigh.com/school/lucknow/cbse/gomti-nagar?utm_source=Google+Maps&utm_medium=Google+Maps+Listing&utm_campaign=Google+Business+Profile+Listing&size=48"," ","https://www.facebook.com/schoolsinlucknow/","https://www.linkedin.com/school/vibgyorgroupofschools/"," ","https://www.instagram.com/vibgyor__lucknow","https://www.youtube.com/c/VIBGYORGroupOfSchools","Recognized among the top CBSE schools in Lucknow, Gomti Nagar. Our commitment to excellence ensures holistic development for a brighter future. Enrol your child today for an unparalleled educational journey.","International Schools in lucknow, Best CBSE schools in lucknow,top schools in lucknow, top CBSE Schools in lucknow,best schools in India, top schools in India","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIfygJ","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"669","Schools in lucknow","The Sanskriti School  Lucknow","The Sanskriti School Lucknow  CG City  Chak Ganjaria  Lucknow - 226002  Uttar Pradesh 226002","The Sanskriti School Lucknow  CG City  Chak Ganjaria  Lucknow - 226002","Ahmamau","226002","Uttar Pradesh 226002","Uttar Pradesh","IN","Asia/Calcutta","द संस्कृति विद्यालय, लखनऊ","07703000083","077030 00083",,,"http://thesanskriti.edu.in/","thesanskriti.edu.in","Educational institution"," ","No","120","3.9","open"," ",,,,,,,,"Lat 26.7961797","Lng 81.02314229999999","26.7961797,81.02314229999999","7MR3Q2WF+F7C","ChIJvTTZ3ILkmzkRb6Aefr9Gk-0"," ","https://www.google.com/maps/place/?q=place_id:ChIJvTTZ3ILkmzkRb6Aefr9Gk-0","17119104396834021487","https://www.google.com/search?kgmid=/g/11fxzyx6l3","/g/11fxzyx6l3","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkhceSWw","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://thesanskriti.edu.in/&size=48","https://search.google.com/local/reviews?placeid=ChIJvTTZ3ILkmzkRb6Aefr9Gk-0&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/Plesk"," "," ",,"https://www.youtube.com/channel/UCeU-_6YHGQFcVSHLbEXLNlA/playlists",,,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIqAEoCg","Wheelchair-accessible car park | Wheelchair-accessible entrance",,,,,,
"670","Schools in lucknow","Pretty Petals School  Indira Nagar","B-2474A  Indira Nagar Rd  Sect C  B Block  Indira Nagar  Lucknow  Uttar Pradesh 226016","B-2474A  Indira Nagar Rd","Lucknow","226016","Lucknow  Uttar Pradesh 226016","Uttar Pradesh","IN","Asia/Calcutta","प्रिटी पेटल्स स्कूल, इंदिरानगर कॉलोनी","08010600900","080106 00900","+918010600900","contact@prettypetalsschool.org","https://prettypetalsschool.org/","prettypetalsschool.org","Day care center","Kindergarten School","Yes","103","4.7","open","Wednesday, 8 am-8 pm; Thursday, 8 am-8 pm; Friday, 8 am-8 pm; Saturday, 8 am-8 pm; Sunday, Closed; Monday, 8 am-8 pm; Tuesday, 8 am-8 pm; ","8 am-8 pm","Closed","8 am-8 pm","8 am-8 pm","8 am-8 pm","8 am-8 pm","8 am-8 pm","Lat 26.882852099999997","Lng 80.9849251","26.882852099999997,80.9849251","7MR2VXMM+4XV","ChIJfQ6HB1L9mzkRCuY8vcM6KEk"," ","https://www.google.com/maps/place/?q=place_id:ChIJfQ6HB1L9mzkRCuY8vcM6KEk","5271527976205084170","https://www.google.com/search?kgmid=/g/1tdncnqd","/g/1tdncnqd","https://lh5.googleusercontent.com/p/AF1QipOxae0mmMBvM7lW0oz1eLTv_7rUc-VEe7TCMJGk","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://prettypetalsschool.org/&size=48","https://search.google.com/local/reviews?placeid=ChIJfQ6HB1L9mzkRCuY8vcM6KEk&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/PrettyPetalsSchoolLucknow"," "," ","https://www.instagram.com/prettypetalslucknow/","https://www.youtube.com/@prettypetalsschool7743","Pretty Petals School is one of the best preschools in India. We offer Playgroup, Nursery & Kindergarten for little learners. Visit our nearest Play school for your child's admission.",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIxQEoCw",,,"Online classes | On-site services","Appointment required",,,
"671","Schools in lucknow","New Public Inter College - Best School in Krishna Nagar  Alambagh  Amausi  Pandit Khera  Sunehra  Sadrauna  Anora  Lucknow","New Public Inter College  54a Indralok colony  Krishna Nagar  Lucknow  Uttar Pradesh 226023","New Public Inter College","Lucknow","226023","54a Indralok colony","Uttar Pradesh","IN","Asia/Calcutta","न्यू पब्लिक विद्यालय","07275003258","072750 03258",,,"https://npic.education/","npic.education","School"," ","Yes","140","4.6","open","Wednesday, 8 am-3 pm; Thursday, 8 am-3 pm; Friday, 8 am-3 pm; Saturday, 8 am-3 pm; Sunday, Closed; Monday, 8 am-5 pm; Tuesday, 8 am-3 pm; ","8 am-3 pm","Closed","8 am-5 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","8 am-3 pm","Lat 26.796540699999998","Lng 80.886145","26.796540699999998,80.886145","7MR2QVWP+JF6","ChIJCzpf4K7-mzkRYFGS25kW5r0"," ","https://www.google.com/maps/place/?q=place_id:ChIJCzpf4K7-mzkRYFGS25kW5r0","13683649367881437536","https://www.google.com/search?kgmid=/g/1tfkjl2x","/g/1tfkjl2x","https://lh5.googleusercontent.com/p/AF1QipMXIht4ezCmYb7fRVnzvRl6j-HbIxYmAlcVRyji","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://npic.education/&size=48","https://search.google.com/local/reviews?placeid=ChIJCzpf4K7-mzkRYFGS25kW5r0&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI7QEoDA","Wheelchair-accessible entrance","Affiliated with CISCE ",,,,,
"672","Schools in lucknow","Rani Laxmi Bai Memorial School","VXX5+9Q5  Rani Lakshmi Bai Rd  Sector 3-A  Sector 3  Vikas Nagar  Lucknow  Uttar Pradesh 226022","VXX5+9Q5","Lucknow","226022","Rani Lakshmi Bai Rd","Uttar Pradesh","IN","Asia/Calcutta","रानी लक्ष्मी बाई मेमोरियल स्कूल"," ",,,"ntandon1812@gmail.com","http://www.rlbschools.org/","rlbschools.org","School","Public educational institution","No","265","4","open","Wednesday, 6 am-6:30 pm; Thursday, 6 am-6:30 pm; Friday, 6 am-6:30 pm; Saturday, 6 am-6:30 pm; Sunday, Closed; Monday, 6 am-6:30 pm; Tuesday, 6 am-6:30 pm; ","6 am-6:30 pm","Closed","6 am-6:30 pm","6 am-6:30 pm","6 am-6:30 pm","6 am-6:30 pm","6 am-6:30 pm","Lat 26.898394399999997","Lng 80.95948109999999","26.898394399999997,80.95948109999999","7MR2VXX5+9Q5","ChIJS2x-f8RXmTkRtgWNv0rKadc"," ","https://www.google.com/maps/place/?q=place_id:ChIJS2x-f8RXmTkRtgWNv0rKadc","15522160013099206070","https://www.google.com/search?kgmid=/g/1tczc98x","/g/1tczc98x","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgICkhqLSYw","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://www.rlbschools.org/&size=48","https://search.google.com/local/reviews?placeid=ChIJS2x-f8RXmTkRtgWNv0rKadc&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN","https://www.facebook.com/RLBSchools/?ref=br_rs"," "," ",,,"Rani Laxmi Bai Memorial School is a renowned name in the sector of Primary Education in Lucknow, India. It was started in 1979 by founder-manager Jaipal Singh. The school has 19 branches around the city with academic results have been not only 100% in CBSE and UP Board Examinations, but also score of 100% in Maths, Science, Social Science, Accountancy & Business Studies, and 95% and above in other individual subjects and aggregate have become a tradition.",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIlwIoDQ","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
"673","Schools in lucknow","St. Lawrence International School  Para Lucknow","Para Rd  Ram Vihar Colony  Devpur  Rajajipuram  Lucknow  Uttar Pradesh 226017","Para Rd","Lucknow","226017","Lucknow  Uttar Pradesh 226017","Uttar Pradesh","IN","Asia/Calcutta","St. लारेन्स इंटरनेशनल स्कूल, पारा लखनऊ","09003057838","090030 57838"," "," ",,,"School"," ","Yes","16","3.9","open","Wednesday, 8 am-4 pm; Thursday, 8 am-4 pm; Friday, 8 am-4 pm; Saturday, 8 am-4 pm; Sunday, Closed; Monday, 8 am-4 pm; Tuesday, 8 am-4 pm; ","8 am-4 pm","Closed","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","8 am-4 pm","Lat 26.8322503","Lng 80.87800229999999","26.8322503,80.87800229999999","7MR2RVJH+W62","ChIJ7XkzG1D_mzkRihJ8j_xSrx0"," ","https://www.google.com/maps/place/?q=place_id:ChIJ7XkzG1D_mzkRihJ8j_xSrx0","2139019592716784266","https://www.google.com/search?kgmid=/g/11fklg_l5c","/g/11fklg_l5c","https://lh5.googleusercontent.com/p/AF1QipMrhTQATLzVxNeoPw5bAwvUraSviCHs6uspnUs3"," ","https://search.google.com/local/reviews?placeid=ChIJ7XkzG1D_mzkRihJ8j_xSrx0&q=Schools+in+lucknow&authuser=0&hl=en&gl=IN"," "," "," "," "," "," "," ","0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcIvgIoDg",,,,,,,
"674","Schools in lucknow","Siddhant World School- Best CBSE School in Lucknow  Top 10 Schools in Lucknow  Best School In Lucknow","Malhaur Railway Station Road  Ashraf Vihar Colony  Chinhat  Lucknow  Uttar Pradesh 226028","Malhaur Railway Station Road","Lucknow","226028","Lucknow  Uttar Pradesh 226028","Uttar Pradesh","IN","Asia/Calcutta","सिद्धांत वर्ल्ड विद्यालय","08189005010","081890 05010","+918189005010",,"https://swslucknow.com/","swslucknow.com","General education school"," ","Yes","0","0","open","Wednesday, 8 am-5 pm; Thursday, 8 am-5 pm; Friday, 8 am-5 pm; Saturday, 8 am-5 pm; Sunday, Closed; Monday, 8 am-5 pm; Tuesday, 8 am-5 pm; ","8 am-5 pm","Closed","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","8 am-5 pm","Lat 26.866847099999998","Lng 81.0390012","26.866847099999998,81.0390012","7MR3V28Q+PJJ","ChIJjwX7bWfimzkR19Uuc6_BESA"," ","https://www.google.com/maps/place/?q=place_id:ChIJjwX7bWfimzkR19Uuc6_BESA","2310841043113661911","https://www.google.com/search?kgmid=/g/1hf4r705m","/g/1hf4r705m","https://lh5.googleusercontent.com/p/CIHM0ogKEICAgIDRmqP-0gE","https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://swslucknow.com/&size=48"," ","https://www.facebook.com/profile.php?id=100063722243945&mibextid=ZbWKwL"," "," ","https://instagram.com/swslucknow?igshid=OGQ5ZDc2ODk2ZA==","https://www.youtube.com/@SiddhantWorldSchool","Siddhant World School: Get excellence in education at the best school in Lucknow, located in Gomti Nagar. Unlock a bright future today with top ranked among the top 10 CBSE schools in Lucknow",,"0ahUKEwiJvKX949KOAxW5RmwGHZcBJucQ8BcI5AIoDw","Wheelchair-accessible car park | Wheelchair-accessible entrance","Affiliated with CBSE ",,,,,
