id,Keyword,Name,Full_Address,Street_Address,City,Zip,Municipality,State,Country,Timezone,Sub_Title,Phone_1,Phone_Standard_format,Phone_From_WEBSITE,Email_From_WEBSITE,Website,Domain,First_category,Second_category,Claimed_google_my_business,Reviews_count,Average_rating,Business_Status,Latitude,Longitude,Coordinates,Plus_Code,Place_ID,Menu_Link,GMB_URL,CID,Google_Knowledge_URL,Kgmid,Image_URL,Favicon,Review_URL,Facebook_URL,Linkedin_URL,Twitter_URL,Instagram_URL,Meta_Description,Meta_Keywords,Uuid,Amenities,Payments,Planning,Youtube_URL,Offerings,From_the_business,Crowd,Accessibility,Service_options
343,noida  sector 63 SPA center,Valley Jacuzzi Spa Noida-Massage Spa In Sector 63 Noida | Massage Service In Noida,H Block  Block H  H1A/16 Ground Floor  Sector 63 Rd  above Burger King  Sector 62  Sector 63  Noida  Uttar Pradesh 201301,H Block  Block H,Noida,201301,H1A/16 Ground Floor,Uttar Pradesh,IN,Asia/Calcutta,वैली जैकूज़ी स्पा नोएडा-मैसेज स्पा इन सेक्टर 63 नोएडा | मैसेज सर्विस इन नोएडा,8595378320.00,085953 78320,918595378320.00,,https://velleyjacuzzispa.site/,velleyjacuzzispa.site,Spa,Massage spa,Yes,150,4.9,open,Lat 28.6275607,Lng 77.3754817,"28.6275607,77.3754817",7JWVJ9HG+25H,ChIJc3nMK9XlDDkRWSvjw8r_hRM,https://valleyjacuzzispa.blogspot.com/,https://www.google.com/maps/place/?q=place_id:ChIJc3nMK9XlDDkRWSvjw8r_hRM,1.40681E+18,https://www.google.com/search?kgmid=/g/11txny2cxw,/g/11txny2cxw,https://lh5.googleusercontent.com/p/AF1QipOECu4znLv5H8Ynsi1aOYjXiSB535vkcBmOu0Hf,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://velleyjacuzzispa.site/&size=48",https://search.google.com/local/reviews?placeid=ChIJc3nMK9XlDDkRWSvjw8r_hRM&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN,https://www.facebook.com/, , ,https://www.instagram.com/,"Discover Valley Jacuzzi Spa in Noida, your sanctuary for relaxation. Experience expert massage therapies that rejuvenate your body and mind. Surrender to wellness and revitalization at our tranquil spa, the ultimate destination for holistic self-care in Sector 63.","Valley Jacuzzi Spa, massage therapies, holistic self-care",0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcICygG,Restroom,NFC mobile payments,,,,,,,
344,noida  sector 63 SPA center,Asian Wellness Spa-Massage Spa In Sector 63 Noida | Massage Service In Noida,H1A/16 Basement  near Dominos Pizza  H Block  Sector 63  Noida  Uttar Pradesh 201301,H1A/16 Basement,Noida,201301,near Dominos Pizza,Uttar Pradesh,IN,Asia/Calcutta, ,7042478776.00,070424 78776,+918743050205 | +917042478776,reservations@asianspa.in,http://asianspa.in/,asianspa.in,Spa,Day spa,Yes,80,4.7,open,Lat 28.628137,Lng 77.3756124,"28.628137,77.3756124",7JWVJ9HG+765,ChIJ_aT98ablDDkR7PImV0HbMa8, ,https://www.google.com/maps/place/?q=place_id:ChIJ_aT98ablDDkR7PImV0HbMa8,1.26241E+19,https://www.google.com/search?kgmid=/g/11w1dst22h,/g/11w1dst22h,https://lh5.googleusercontent.com/p/AF1QipOaPJ_Gqhwc7v3-CG-beUxHdD9CytX216DwB324,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://asianspa.in/&size=48",https://search.google.com/local/reviews?placeid=ChIJ_aT98ablDDkR7PImV0HbMa8&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcINygH,Restroom,,Appointments recommended,,,,,,
345,noida  sector 63 SPA center,City Spa,Shop No.41 42 43 44 Ground Floor  Venus Shopping Mall  H Block  Sector 63  Noida  Uttar Pradesh 201301,Shop No.41 42 43 44 Ground Floor,Noida,201301,Venus Shopping Mall,Uttar Pradesh,IN,Asia/Calcutta,शहर के स्पा,8448208447.00,084482 08447, , ,,,Spa,Day spa,Yes,113,4.9,open,Lat 28.6260607,Lng 77.3754644,"28.6260607,77.3754644",7JWVJ9GG+C5G,ChIJq31Qt_DvDDkR2f-oCsx8K84, ,https://www.google.com/maps/place/?q=place_id:ChIJq31Qt_DvDDkR2f-oCsx8K84,1.48561E+19,https://www.google.com/search?kgmid=/g/11c3tpm16c,/g/11c3tpm16c,https://lh5.googleusercontent.com/p/AF1QipNn-r5_PiKXoK57rU_4j2SXjML7wkqL_KXwZJQC, ,https://search.google.com/local/reviews?placeid=ChIJq31Qt_DvDDkR2f-oCsx8K84&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , , , , ,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIYSgI,Gender-neutral toilets | Restroom,Credit cards | Debit cards | Google Pay | NFC mobile payments | Credit cards,, ,Sauna,Identifies as women-owned,LGBTQ+ friendly,,
346,noida  sector 63 SPA center,AYUSH SPA-Jaccuzi Massage Spa In Sector 63 Noida,H-224-E  H Block  Sector 63  Noida  Uttar Pradesh 201301,H-224-E,Noida,201301,Noida  Uttar Pradesh 201301,Uttar Pradesh,IN,Asia/Calcutta,आयुष स्पा,7669671993.00,076696 71993,,,http://ayushspanoida.blogspot.com/,ayushspanoida.blogspot.com,Massage spa,Massage therapist,Yes,143,4.6,open,Lat 28.6258804,Lng 77.37522299999999,"28.6258804,77.37522299999999",7JWVJ9GG+935,ChIJFa-ExknvDDkRDTbhVdYPaDk, ,https://www.google.com/maps/place/?q=place_id:ChIJFa-ExknvDDkRDTbhVdYPaDk,4.13657E+18,https://www.google.com/search?kgmid=/g/11y43tq60c,/g/11y43tq60c,https://lh5.googleusercontent.com/p/AF1QipMKuLYO2PBFJwrY7DilREKFnKzJ0NS8XxQX9OGg,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://ayushspanoida.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJFa-ExknvDDkRDTbhVdYPaDk&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIjgEoCQ,Gender-neutral toilets | Restroom,,,,Sauna,,LGBTQ+ friendly,Wheelchair-accessible toilet,
347,noida  sector 63 SPA center,Asian Jacuzzi Spa-Spa near me| Massage Spa Noida | Massage Center In Noida,Block H Noida electronic metro station H Block   Sector 62  Sector 63  Noida  Uttar Pradesh 201301,Block H Noida electronic metro station H Block   Sector 62,Noida,201301,Noida  Uttar Pradesh 201301,Uttar Pradesh,IN,Asia/Calcutta, ,7042918776.00,070429 18776,917042918776.00,,https://asianjacuzzispa.site/,asianjacuzzispa.site,Massage spa,Day spa,Yes,96,4.8,open,Lat 28.625070899999997,Lng 77.3756126,"28.625070899999997,77.3756126",7JWVJ9GG+26H,ChIJ70KvWuzlDDkRCFYk0mwznw4, ,https://www.google.com/maps/place/?q=place_id:ChIJ70KvWuzlDDkRCFYk0mwznw4,1.05362E+18,https://www.google.com/search?kgmid=/g/11w1d6ngyb,/g/11w1d6ngyb,https://lh5.googleusercontent.com/p/AF1QipOnbAfqYz3sM_tF1J7CfWePBzBbXS1jObYvq_4i,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://asianjacuzzispa.site/&size=48",https://search.google.com/local/reviews?placeid=ChIJ70KvWuzlDDkRCFYk0mwznw4&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN,https://www.facebook.com/, , ,https://www.instagram.com/,"Experience tranquility at Asian Jacuzzi Spa in Sector 63, Noida. Our skilled therapists provide rejuvenating massages that restore balance and refresh your mind and body. Step into our serene haven and emerge invigorated, ready to embrace life's adventures with renewed energy and vitality.","Asian Jacuzzi Spa, massage therapy, wellness sanctuary",0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIuAEoCg,Restroom,,,,,,,,
348,noida  sector 63 SPA center,Aura Day Wellness Spa,Shop No. G-12  GLOBUS-D BUILDING  H Block  Sector 63  Noida  Uttar Pradesh 201307,Shop No. G-12,Noida,201307,GLOBUS-D BUILDING,Uttar Pradesh,IN,Asia/Calcutta,औरा डे वैलनेस स्पा,9910957200.00,099109 57200,,,https://www.aurawellnessspa.com/,aurawellnessspa.com,Spa,Erotic massage,Yes,90,4.3,open,Lat 28.629398,Lng 77.3760077,"28.629398,77.3760077",7JWVJ9HG+QC2,ChIJJTdsq1bvDDkRdyqTxFMfxpo, ,https://www.google.com/maps/place/?q=place_id:ChIJJTdsq1bvDDkRdyqTxFMfxpo,1.11526E+19,https://www.google.com/search?kgmid=/g/11np5dvx__,/g/11np5dvx__,https://lh5.googleusercontent.com/p/AF1QipNe6Lp1huitxrQdQxaXIqhGrF2CNPOubSQm-e2r,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.aurawellnessspa.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJJTdsq1bvDDkRdyqTxFMfxpo&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN,https://www.facebook.com/LazadaIndonesia,https://www.linkedin.com/company/lazada/,https://twitter.com/LazadaID,https://www.instagram.com/lazada_id/,KINGKONG98: Dapatkan link login situs Slot Mahjong anti rungkad hari ini! Nikmati pengalaman bermain tanpa kekalahan dan raih kemenangan fantastis. Mainkan sekarang dan bawa pulang jackpotmu!,"KINGKONG98, Judi Slot KINGKONG98",0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcI4AEoCw,Gender-neutral toilets | Restroom,Debit cards | Google Pay | NFC mobile payments,Appointment required | Appointments recommended,https://www.youtube.com/@LazadaIndonesia,,Identifies as women-owned,LGBTQ+ friendly,Wheelchair-accessible car park | Wheelchair-accessible seating,
349,noida  sector 63 SPA center,My Spa Wellness in Noida Massage Spa In Sector 62 Noida | Best Massage Center In Noida,Ground floor  opposites  Burger King  Block  H1A/09  H Block  Sector 63  Noida  Uttar Pradesh 201307,Ground floor  opposites  Burger King,Noida,201307,Block  H1A/09,Uttar Pradesh,IN,Asia/Calcutta,माई स्पा वैलनेस इन नोएडा मैसेज स्पा इन सेक्टर 62 नोएडा | बेस्ट मैसेज केंद्र इन नोएडा,8750274215.00,087502 74215, , ,,,Massage spa,Spa,Yes,54,5,open,Lat 28.627470199999998,Lng 77.3753067,"28.627470199999998,77.3753067",7JWVJ9GG+X4M,ChIJSTosnnjlDDkRhX12Ar7qjvs, ,https://www.google.com/maps/place/?q=place_id:ChIJSTosnnjlDDkRhX12Ar7qjvs,1.81267E+19,https://www.google.com/search?kgmid=/g/11kj9711nn,/g/11kj9711nn,https://lh5.googleusercontent.com/p/AF1QipOAeUFY4lb1CDokWpij5YR2qthrg7sfysBQ-l97, ,https://search.google.com/local/reviews?placeid=ChIJSTosnnjlDDkRhX12Ar7qjvs&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , , , , ,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIjgIoDA,Restroom,,Appointments recommended, ,,Identifies as women-owned,,Wheelchair-accessible car park,
350,noida  sector 63 SPA center,The Luxury Spa-Spa near me| Massage Spa Noida | Massage Center In Noida,Shop No 8 1st Floor  near Ginger Hotel  H Block  Sector 63  Noida  Uttar Pradesh 201301,Shop No 8 1st Floor,Noida,201301,near Ginger Hotel,Uttar Pradesh,IN,Asia/Calcutta, ,7428868814.00,074288 68814,,,http://theluxuryspanoida63.blogspot.com/,theluxuryspanoida63.blogspot.com,Spa,Massage spa,Yes,23,5,open,Lat 28.6252908,Lng 77.37612759999999,"28.6252908,77.37612759999999",7JWVJ9GG+4F6,ChIJkyw0kynlDDkRC2QTOPEvHFk, ,https://www.google.com/maps/place/?q=place_id:ChIJkyw0kynlDDkRC2QTOPEvHFk,6.42106E+18,https://www.google.com/search?kgmid=/g/11ybh0_mh9,/g/11ybh0_mh9,https://lh5.googleusercontent.com/p/AF1QipOywnfrPkP1v8KR5YMaGvK8kBHczOJOaWiElF__,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://theluxuryspanoida63.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJkyw0kynlDDkRC2QTOPEvHFk&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIuQIoDQ,Restroom,NFC mobile payments,,,,,,,
351,noida  sector 63 SPA center,Thai Wellness Centre Spa in Sector 62 Noida | Massage Spa in Noida Sector 62  Full Body Massage in Noida62  SPA near noida62,Shop No FF-17 2nd Floor  near Mc Donalds  Rasoolpur  Sector 63  Noida  Uttar Pradesh 201301,Shop No FF-17 2nd Floor,Noida,201301,near Mc Donalds,Uttar Pradesh,IN,Asia/Calcutta, ,8527935512.00,085279 35512,,,http://thaiwellnesscentre.blogspot.com/,thaiwellnesscentre.blogspot.com,Spa,Day spa,Yes,18,4.8,open,Lat 28.624638599999997,Lng 77.3751862,"28.624638599999997,77.3751862",7JWVJ9FG+V33,ChIJD-bNMUXlDDkR7i8bhN854GY, ,https://www.google.com/maps/place/?q=place_id:ChIJD-bNMUXlDDkR7i8bhN854GY,7.41299E+18,https://www.google.com/search?kgmid=/g/11ybh5w6qb,/g/11ybh5w6qb,https://lh5.googleusercontent.com/p/AF1QipMYDNB_3P-FOYr_-w9wdderLrGSaMBN1X0beOQG,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://thaiwellnesscentre.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJD-bNMUXlDDkR7i8bhN854GY&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcI4wIoDg,,,,,,,,,
352,noida  sector 63 SPA center,Ayurveda Body Spa - Massage Center In Noida,B- 213A  near Amarpali Crystal Market  B Block  Sector 63  Noida  Uttar Pradesh 201301,B- 213A,Noida,201301,near Amarpali Crystal Market,Uttar Pradesh,IN,Asia/Calcutta,आयुर्वेद बॉडी स्पा - मैसेज केंद्र इन नोएडा,7836982562.00,078369 82562,,,http://ayurvedabodyspa.blogspot.com/,ayurvedabodyspa.blogspot.com,Spa,Massage spa,Yes,37,5,open,Lat 28.615788499999997,Lng 77.37448429999999,"28.615788499999997,77.37448429999999",7JWVJ98F+8Q9,ChIJp1HWHdnvDDkR8d2NtIPGriY, ,https://www.google.com/maps/place/?q=place_id:ChIJp1HWHdnvDDkR8d2NtIPGriY,2.78738E+18,https://www.google.com/search?kgmid=/g/11sbdxfx14,/g/11sbdxfx14,https://lh5.googleusercontent.com/p/AF1QipPEm5V2AJfryZFVc5XbQVjxzS76LzgPyinSWT1N,"https://t1.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=http://ayurvedabodyspa.blogspot.com/&size=48",https://search.google.com/local/reviews?placeid=ChIJp1HWHdnvDDkR8d2NtIPGriY&q=noida++sector+63+SPA+center&authuser=0&hl=en&gl=IN, , , ,,,,0ahUKEwi44uPH2tKOAxUyTWwGHTMmClUQ8BcIjAMoDw,Restroom,,,,,,,Wheelchair-accessible toilet,
